iter	Passed	Remaining
0	3	3090
1	4	2305
2	6	2039
3	7	1950
4	10	2014
5	11	1975
6	13	1905
7	14	1856
8	16	1869
9	18	1866
10	20	1839
11	22	1832
12	24	1826
13	26	1838
14	27	1827
15	29	1810
16	31	1796
17	32	1786
18	34	1789
19	36	1775
20	37	1768
21	39	1755
22	41	1760
23	43	1748
24	44	1745
25	46	1732
26	48	1736
27	49	1732
28	51	1734
29	53	1726
30	54	1717
31	56	1712
32	58	1716
33	60	1707
34	61	1699
35	63	1694
36	65	1691
37	66	1688
38	68	1681
39	70	1681
40	71	1676
41	74	1688
42	75	1681
43	77	1679
44	78	1672
45	80	1668
46	81	1662
47	83	1660
48	85	1655
49	86	1651
50	88	1648
51	90	1647
52	92	1645
53	93	1641
54	95	1635
55	97	1636
56	98	1631
57	100	1627
58	101	1623
59	103	1618
60	105	1619
61	107	1622
62	108	1618
63	110	1617
64	112	1616
65	114	1615
66	115	1612
67	117	1608
68	119	1606
69	120	1606
70	122	1607
71	124	1604
72	126	1600
73	127	1597
74	129	1594
75	130	1591
76	132	1587
77	134	1584
78	136	1585
79	137	1583
80	139	1583
81	141	1580
82	143	1579
83	144	1578
84	146	1576
85	148	1574
86	149	1572
87	151	1570
88	153	1568
89	155	1567
90	156	1565
91	158	1562
92	159	1559
93	161	1559
94	163	1556
95	165	1555
96	167	1561
97	169	1561
98	171	1561
99	173	1558
100	174	1555
101	176	1552
102	178	1551
103	180	1551
104	181	1549
105	183	1547
106	185	1544
107	186	1541
108	188	1539
109	190	1537
110	191	1534
111	193	1531
112	194	1529
113	196	1525
114	198	1524
115	199	1523
116	201	1519
117	202	1516
118	204	1516
119	206	1514
120	208	1512
121	209	1510
122	211	1508
123	213	1506
124	215	1505
125	216	1503
126	218	1501
127	220	1499
128	221	1496
129	223	1494
130	225	1493
131	226	1491
132	228	1488
133	230	1487
134	232	1487
135	233	1484
136	235	1483
137	237	1481
138	239	1480
139	240	1478
140	242	1477
141	244	1476
142	245	1473
143	247	1471
144	249	1473
145	251	1471
146	254	1478
147	260	1498
148	262	1497
149	263	1495
150	265	1492
151	267	1491
152	269	1489
153	270	1487
154	272	1485
155	274	1482
156	275	1479
157	277	1478
158	278	1475
159	280	1472
160	282	1470
161	283	1468
162	285	1467
163	287	1465
164	289	1463
165	290	1461
166	292	1458
167	294	1456
168	295	1454
169	297	1451
170	298	1449
171	300	1447
172	302	1446
173	304	1443
174	305	1440
175	307	1438
176	308	1436
177	310	1434
178	312	1431
179	313	1429
180	315	1429
181	317	1429
182	320	1430
183	322	1428
184	323	1426
185	325	1425
186	327	1423
187	328	1420
188	330	1419
189	332	1418
190	334	1417
191	336	1416
192	338	1413
193	340	1413
194	341	1411
195	343	1409
196	345	1406
197	346	1405
198	348	1403
199	350	1401
200	352	1400
201	353	1397
202	355	1396
203	357	1394
204	359	1393
205	360	1390
206	362	1388
207	364	1387
208	366	1385
209	368	1385
210	369	1383
211	371	1380
212	372	1378
213	374	1375
214	376	1374
215	378	1372
216	380	1371
217	381	1369
218	383	1367
219	385	1365
220	386	1362
221	388	1360
222	389	1358
223	391	1355
224	393	1354
225	394	1351
226	396	1350
227	398	1348
228	399	1346
229	401	1344
230	403	1342
231	404	1339
232	406	1337
233	408	1336
234	409	1334
235	411	1332
236	413	1330
237	414	1328
238	416	1326
239	418	1324
240	419	1321
241	421	1319
242	422	1317
243	424	1315
244	426	1313
245	428	1311
246	429	1309
247	431	1307
248	433	1306
249	434	1304
250	436	1302
251	438	1301
252	440	1299
253	442	1298
254	443	1296
255	445	1294
256	447	1292
257	448	1290
258	450	1288
259	452	1286
260	453	1284
261	455	1282
262	457	1281
263	459	1279
264	460	1277
265	462	1275
266	463	1273
267	465	1271
268	467	1270
269	469	1268
270	470	1265
271	472	1264
272	473	1262
273	475	1260
274	477	1259
275	479	1256
276	480	1255
277	482	1253
278	484	1251
279	485	1249
280	487	1247
281	489	1245
282	490	1243
283	492	1241
284	494	1240
285	496	1238
286	497	1236
287	499	1234
288	501	1233
289	502	1231
290	504	1229
291	506	1227
292	508	1226
293	509	1224
294	511	1222
295	513	1220
296	515	1219
297	516	1217
298	518	1215
299	520	1213
300	522	1212
301	523	1210
302	525	1209
303	527	1207
304	529	1205
305	530	1203
306	532	1201
307	534	1199
308	535	1197
309	537	1196
310	539	1194
311	540	1192
312	542	1190
313	544	1188
314	545	1186
315	547	1184
316	549	1182
317	550	1180
318	552	1178
319	553	1177
320	555	1175
321	557	1173
322	558	1171
323	560	1169
324	562	1168
325	564	1167
326	566	1166
327	568	1164
328	569	1162
329	571	1160
330	573	1158
331	575	1157
332	576	1155
333	579	1155
334	581	1153
335	582	1152
336	584	1150
337	586	1148
338	587	1146
339	589	1144
340	591	1143
341	593	1141
342	594	1139
343	596	1137
344	598	1135
345	599	1133
346	601	1131
347	603	1130
348	605	1128
349	606	1126
350	608	1125
351	610	1123
352	612	1122
353	613	1120
354	615	1118
355	617	1116
356	619	1115
357	620	1113
358	622	1111
359	624	1110
360	626	1109
361	628	1108
362	630	1106
363	632	1105
364	634	1103
365	635	1101
366	637	1099
367	639	1097
368	641	1096
369	642	1094
370	644	1093
371	646	1091
372	648	1089
373	650	1088
374	652	1086
375	653	1085
376	655	1083
377	657	1081
378	658	1079
379	660	1078
380	662	1076
381	664	1075
382	666	1073
383	668	1072
384	669	1070
385	671	1068
386	673	1067
387	675	1065
388	676	1063
389	678	1061
390	680	1060
391	682	1058
392	684	1056
393	685	1055
394	687	1053
395	689	1051
396	691	1050
397	692	1048
398	694	1046
399	696	1044
400	698	1043
401	699	1041
402	701	1039
403	703	1038
404	705	1036
405	707	1034
406	709	1033
407	711	1031
408	712	1029
409	714	1027
410	716	1026
411	717	1024
412	719	1022
413	721	1020
414	722	1018
415	724	1016
416	726	1015
417	728	1014
418	730	1012
419	732	1011
420	733	1009
421	735	1007
422	737	1006
423	739	1004
424	740	1002
425	742	1000
426	744	998
427	746	996
428	747	995
429	749	993
430	751	992
431	753	990
432	755	988
433	756	986
434	759	986
435	761	985
436	763	983
437	764	981
438	766	979
439	768	977
440	769	975
441	771	974
442	773	972
443	775	971
444	777	969
445	779	967
446	780	965
447	782	963
448	783	961
449	785	960
450	787	958
451	789	956
452	790	955
453	792	953
454	794	951
455	796	949
456	797	947
457	799	946
458	801	944
459	803	942
460	805	941
461	806	939
462	809	938
463	811	937
464	813	935
465	814	933
466	816	932
467	818	930
468	819	928
469	821	926
470	823	924
471	825	922
472	826	920
473	828	919
474	830	917
475	831	915
476	833	913
477	835	912
478	836	910
479	838	908
480	840	906
481	842	904
482	843	903
483	845	901
484	847	899
485	848	897
486	850	896
487	852	894
488	854	892
489	855	890
490	857	889
491	859	887
492	861	885
493	862	883
494	864	881
495	866	880
496	867	878
497	869	876
498	871	874
499	872	872
500	874	871
501	876	869
502	877	867
503	879	865
504	881	863
505	882	861
506	884	859
507	885	857
508	887	856
509	889	854
510	890	852
511	892	850
512	894	849
513	896	847
514	897	845
515	899	843
516	901	841
517	903	840
518	904	838
519	906	836
520	908	834
521	909	833
522	911	831
523	913	829
524	915	828
525	916	826
526	918	824
527	920	822
528	921	820
529	923	819
530	925	817
531	927	816
532	929	814
533	931	812
534	932	810
535	934	808
536	936	807
537	937	805
538	939	803
539	941	801
540	942	799
541	944	798
542	946	796
543	948	794
544	949	793
545	951	791
546	953	789
547	954	787
548	956	785
549	959	784
550	960	782
551	962	780
552	963	779
553	965	777
554	966	775
555	968	773
556	970	771
557	971	769
558	973	768
559	975	766
560	977	764
561	978	762
562	980	761
563	982	759
564	984	757
565	986	756
566	987	754
567	989	752
568	991	750
569	993	749
570	994	747
571	996	745
572	998	743
573	999	742
574	1001	740
575	1002	738
576	1004	736
577	1006	734
578	1008	733
579	1009	731
580	1011	729
581	1013	727
582	1014	725
583	1016	724
584	1018	722
585	1019	720
586	1021	718
587	1023	716
588	1024	715
589	1026	713
590	1027	711
591	1029	709
592	1031	707
593	1032	706
594	1034	704
595	1036	702
596	1038	700
597	1039	698
598	1041	697
599	1043	695
600	1044	693
601	1046	691
602	1048	690
603	1050	688
604	1051	686
605	1053	684
606	1055	683
607	1056	681
608	1058	679
609	1060	677
610	1061	676
611	1063	674
612	1065	672
613	1066	670
614	1068	668
615	1070	667
616	1071	665
617	1073	663
618	1074	661
619	1076	659
620	1078	658
621	1080	656
622	1081	654
623	1083	652
624	1085	651
625	1087	649
626	1088	647
627	1090	646
628	1092	644
629	1094	642
630	1096	640
631	1097	639
632	1099	637
633	1101	635
634	1102	633
635	1104	632
636	1106	630
637	1108	628
638	1109	626
639	1111	625
640	1112	623
641	1114	621
642	1116	619
643	1118	618
644	1119	616
645	1121	614
646	1123	612
647	1124	611
648	1126	609
649	1128	607
650	1130	605
651	1131	604
652	1133	602
653	1135	600
654	1137	598
655	1138	597
656	1140	595
657	1142	593
658	1143	591
659	1145	590
660	1147	588
661	1148	586
662	1150	584
663	1152	583
664	1154	581
665	1155	579
666	1157	577
667	1159	576
668	1161	574
669	1163	573
670	1164	571
671	1166	569
672	1168	567
673	1170	566
674	1172	564
675	1173	562
676	1175	560
677	1177	559
678	1179	557
679	1181	555
680	1183	554
681	1184	552
682	1186	550
683	1188	549
684	1189	547
685	1191	545
686	1193	543
687	1194	541
688	1196	540
689	1197	538
690	1199	536
691	1201	534
692	1203	533
693	1204	531
694	1206	529
695	1208	527
696	1210	526
697	1212	524
698	1214	522
699	1215	521
700	1217	519
701	1219	517
702	1221	515
703	1222	514
704	1224	512
705	1225	510
706	1227	508
707	1229	506
708	1230	505
709	1232	503
710	1234	501
711	1236	500
712	1238	498
713	1239	496
714	1241	494
715	1243	493
716	1244	491
717	1246	489
718	1248	487
719	1249	486
720	1251	484
721	1253	482
722	1254	480
723	1256	478
724	1258	477
725	1259	475
726	1261	473
727	1263	471
728	1264	470
729	1266	468
730	1268	466
731	1269	464
732	1271	463
733	1273	461
734	1274	459
735	1276	457
736	1278	456
737	1279	454
738	1281	452
739	1283	450
740	1284	449
741	1286	447
742	1288	445
743	1289	443
744	1291	442
745	1293	440
746	1295	438
747	1296	436
748	1298	435
749	1299	433
